phase,evaluation_split,instance,preset_id,seed,runtime_budget_sec,termination_mode,reference_value,reference_type,candidate_tier,notes
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1001,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1002,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1003,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1004,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1005,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1006,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1007,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1008,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1009,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,ft06,PRESET_FT06_FAST_GT,1010,30,wall_clock_time,55,optimum,primary,Primary final sanity-check preset for small instance.
final,provisional_final,la19,PRESET_LA19_TABU_STRONG_HISTORICAL,1001,180,wall_clock_time,842,optimum,primary,Primary final candidate because historical best quality is strongest.
final,provisional_final,la19,PRESET_LA19_TABU_STRONG_HISTORICAL,1002,180,wall_clock_time,842,optimum,primary,Primary final candidate because historical best quality is strongest.
final,provisional_final,la19,PRESET_LA19_TABU_STRONG_HISTORICAL,1003,180,wall_clock_time,842,optimum,primary,Primary final candidate because historical best quality is strongest.
final,provisional_final,la19,PRESET_LA19_TABU_STRONG_HISTORICAL,1004,180,wall_clock_time,842,optimum,primary,Primary final candidate because historical best quality is strongest.
final,provisional_final,la19,PRESET_LA19_TABU_STRONG_HISTORICAL,1005,180,wall_clock_time,842,optimum,primary,Primary final candidate because historical best quality is strongest.
final,provisional_final,la19,PRESET_LA19_TABU_STRONG_HISTORICAL,1006,180,wall_clock_time,842,optimum,primary,Primary final candidate because historical best quality is strongest.
