machine_id,job_id,op_index,start,end,proc_time
0,11,0,0,22,22
0,17,2,42,54,12
0,2,1,65,87,22
0,0,4,88,109,21
0,15,4,109,122,13
0,14,4,194,205,11
0,9,5,255,289,34
0,12,6,289,327,38
0,8,7,343,370,27
0,3,6,379,411,32
0,1,10,460,471,11
0,13,8,471,491,20
0,19,8,491,507,16
0,18,14,511,524,13
0,4,11,527,551,24
0,7,14,552,565,13
0,10,14,566,602,36
0,6,13,604,621,17
0,5,14,621,646,25
0,16,14,646,667,21
1,13,1,52,81,29
1,5,3,81,114,33
1,9,1,114,125,11
1,17,5,125,143,18
1,4,2,143,171,28
1,1,4,171,195,24
1,16,5,200,231,31
1,10,3,231,262,31
1,3,2,262,281,19
1,19,3,285,299,14
1,18,8,299,311,12
1,14,8,335,369,34
1,7,10,399,435,36
1,0,8,435,465,30
1,12,11,465,501,36
1,11,11,501,519,18
1,2,9,519,533,14
1,15,11,533,551,18
1,6,12,575,604,29
1,8,14,608,640,32
2,0,0,0,24,24
2,17,3,54,74,20
2,16,2,74,102,28
2,12,2,169,205,36
2,14,6,221,235,14
2,2,4,235,255,20
2,1,7,255,291,36
2,6,6,291,330,39
2,18,9,330,343,13
2,11,8,343,372,29
2,7,9,372,399,27
2,5,9,399,425,26
2,8,10,425,446,21
2,9,12,446,474,28
2,15,10,474,503,29
2,4,10,503,527,24
2,10,13,527,566,39
2,13,11,566,587,21
2,3,11,587,616,29
2,19,13,621,643,22
3,16,0,0,25,25
3,0,1,25,37,12
3,6,1,37,67,30
3,1,1,67,82,15
3,14,2,116,146,30
3,7,4,146,167,21
3,8,3,167,194,27
3,18,7,200,217,17
3,12,4,220,248,28
3,2,5,255,267,12
3,17,9,267,298,31
3,9,6,298,322,24
3,5,8,322,345,23
3,10,8,345,372,27
3,19,5,372,403,31
3,15,9,405,441,36
3,4,8,441,465,24
3,11,12,519,530,11
3,3,12,616,629,13
3,13,14,640,667,27
4,7,1,27,46,19
4,0,3,61,88,27
4,15,3,89,106,17
4,11,4,199,230,31
4,6,5,235,262,27
4,13,4,262,296,34
4,8,5,296,317,21
4,10,7,317,337,20
4,16,9,337,349,12
4,3,5,349,379,30
4,17,13,399,412,13
4,9,10,412,427,15
4,5,10,427,442,15
4,14,10,443,466,23
4,18,13,473,511,38
4,12,12,511,526,15
4,19,11,561,590,29
4,1,14,591,619,28
4,2,13,620,642,22
4,4,14,649,667,18
5,7,0,0,27,27
5,18,0,27,45,18
5,16,1,45,60,15
5,10,1,60,97,37
5,17,4,97,109,12
5,11,2,109,137,28
5,12,1,137,169,32
5,9,2,169,208,39
5,5,6,208,248,40
5,8,4,248,288,40
5,15,5,288,321,33
5,14,7,321,335,14
5,19,4,335,368,33
5,4,5,368,386,18
5,13,5,386,419,33
5,1,8,419,445,26
5,3,7,445,466,21
