machine_id,job_id,op_index,start,end,proc_time
0,0,1,1,4,3
0,3,1,13,18,5
0,2,3,18,27,9
0,5,3,28,38,10
0,4,4,38,41,3
0,1,4,45,55,10
1,1,0,0,8,8
1,3,0,8,13,5
1,5,0,13,16,3
1,4,1,16,19,3
1,0,2,19,25,6
1,2,4,27,28,1
2,0,0,0,1,1
2,2,0,1,6,5
2,4,0,6,15,9
2,1,1,15,20,5
2,3,2,20,25,5
2,5,5,53,54,1
3,2,1,6,10,4
3,5,1,16,19,3
3,0,3,25,32,7
3,3,3,32,35,3
3,4,5,41,42,1
3,1,5,55,59,4
4,4,2,19,24,5
4,1,2,24,34,10
4,2,5,34,41,7
4,3,4,41,49,8
4,5,4,49,53,4
4,0,5,53,59,6
5,2,2,10,18,8
5,5,2,19,28,9
5,4,3,28,32,4
5,0,4,32,35,3
5,1,3,35,45,10
5,3,5,49,58,9
