machine_id,job_id,op_index,start,end,proc_time
0,6,0,0,93,93
0,7,0,93,153,60
0,9,0,153,249,96
0,11,0,249,310,61
0,14,0,310,397,87
0,2,1,397,409,12
0,5,2,409,501,92
0,10,2,501,596,95
0,13,2,596,624,28
0,0,3,624,677,53
0,3,3,677,732,55
0,8,3,732,776,44
0,1,4,776,797,21
0,4,4,797,880,83
0,12,4,880,926,46
1,0,0,0,21,21
1,5,1,74,128,54
1,3,1,129,206,77
1,7,1,206,247,41
1,13,1,247,299,52
1,1,2,299,370,71
1,6,2,370,457,87
1,14,1,457,502,45
1,2,2,502,544,42
1,12,2,544,635,91
1,4,3,635,654,19
1,9,3,654,729,75
1,11,3,729,738,9
1,10,4,738,745,7
1,8,4,776,825,49
2,2,0,0,31,31
2,5,0,31,74,43
2,8,0,74,172,98
2,0,1,172,206,34
2,10,1,206,241,35
2,4,2,241,305,64
2,7,2,305,343,38
2,11,2,343,438,95
2,1,3,438,464,26
2,14,2,502,541,39
2,13,3,624,651,27
2,12,3,651,710,59
2,6,4,710,797,87
2,3,4,797,863,66
2,9,4,863,906,43
3,1,0,0,52,52
3,3,0,52,129,77
3,4,1,129,163,34
3,6,1,163,232,69
3,8,1,232,249,17
3,12,1,249,265,16
3,9,2,326,405,79
3,5,3,501,563,62
3,2,3,563,602,39
3,10,3,602,678,76
3,0,4,678,733,55
3,7,4,733,757,24
3,11,4,757,792,35
3,13,4,792,842,50
3,14,4,842,883,41
4,4,0,0,37,37
4,10,0,37,65,28
4,12,0,65,124,59
4,13,0,124,167,43
4,1,1,167,183,16
4,9,1,249,326,77
4,11,1,326,336,10
4,0,2,336,431,95
4,3,2,431,510,79
4,8,2,510,535,25
4,6,3,535,612,77
4,7,3,612,695,83
4,14,3,695,704,9
4,2,4,704,802,98
4,5,4,802,881,79
