machine_id,job_id,op_index,start,end,proc_time
0,3,0,0,8,8
0,5,0,8,61,53
0,1,0,61,122,61
0,7,1,122,141,19
0,4,1,141,235,94
0,0,0,235,307,72
0,9,1,307,367,60
0,2,0,367,453,86
0,8,3,453,491,38
0,6,2,498,597,99
1,3,1,8,90,82
1,4,0,90,140,50
1,5,4,140,208,68
1,8,1,208,307,99
1,1,4,317,366,49
1,7,4,366,450,84
1,0,1,450,514,64
1,9,5,514,599,85
1,6,3,599,613,14
1,2,2,613,648,35
2,7,0,0,90,90
2,5,2,91,98,7
2,8,0,98,195,97
2,9,0,195,239,44
2,1,3,239,317,78
2,6,0,317,346,29
2,3,6,458,491,33
2,4,6,552,557,5
2,0,2,557,612,55
2,2,3,648,685,37
3,5,3,98,110,12
3,1,1,122,149,27
3,7,2,149,236,87
3,3,3,236,335,99
3,4,3,335,397,62
3,9,3,397,402,5
3,6,1,402,498,96
3,2,1,498,530,32
3,8,6,600,640,40
3,0,3,640,671,31
4,3,2,90,117,27
4,1,2,149,237,88
4,7,3,237,288,51
4,5,6,295,323,28
4,8,2,323,416,93
4,4,4,416,471,55
4,9,6,599,633,34
4,6,4,633,667,34
4,2,5,706,754,48
4,0,4,754,807,53
5,4,2,235,278,43
5,1,5,366,449,83
5,3,5,449,458,9
5,7,5,458,503,45
5,8,5,504,600,96
5,5,9,600,607,7
5,6,6,681,688,7
5,2,4,688,706,18
5,0,5,807,902,95
5,9,9,902,949,47
6,5,1,61,91,30
6,3,4,335,409,74
6,9,4,409,483,74
6,1,7,540,614,74
6,7,7,614,672,58
6,6,7,688,764,76
6,2,6,764,855,91
6,8,8,855,887,32
6,0,6,902,913,11
6,4,9,913,949,36
7,5,8,393,438,45
7,8,4,491,504,13
7,4,5,504,552,48
7,3,8,552,611,59
7,1,8,614,643,29
7,6,5,667,681,14
7,9,7,681,776,95
7,7,8,776,857,81
7,2,7,857,909,52
7,0,7,913,965,52
8,5,5,208,295,87
8,9,2,367,396,29
8,1,6,449,540,91
8,4,7,557,593,36
8,3,9,611,709,98
8,6,8,764,821,57
8,7,9,857,953,96
8,0,8,965,971,6
8,8,9,971,1016,45
8,2,9,1016,1046,30
9,5,7,323,393,70
9,3,7,491,511,20
9,7,6,511,595,84
9,4,8,595,642,47
9,8,7,642,706,64
9,1,9,706,793,87
9,9,8,793,844,51
9,6,9,844,920,76
9,2,8,920,980,60
9,0,9,980,1064,84
