machine_id,job_id,op_index,start,end,proc_time
0,16,0,0,21,21
0,32,1,21,67,46
0,20,1,67,87,20
0,13,1,89,128,39
0,6,0,128,156,28
0,12,0,156,172,16
0,25,2,172,196,24
0,28,1,196,199,3
0,43,0,199,248,49
0,31,3,248,278,30
0,10,3,278,301,23
0,48,0,301,336,35
0,11,1,336,340,4
0,40,0,340,399,59
0,42,4,399,401,2
0,19,3,401,449,48
0,5,1,449,464,15
0,18,4,464,517,53
0,27,1,517,538,21
0,15,3,538,570,32
0,9,4,570,645,75
0,35,4,645,655,10
0,0,0,655,747,92
0,45,3,769,784,15
0,17,2,784,835,51
0,21,2,835,921,86
0,3,1,921,969,48
0,47,2,969,1007,38
0,24,4,1007,1045,38
0,44,3,1045,1070,25
0,26,4,1070,1145,75
0,41,3,1172,1193,21
0,14,1,1193,1286,93
0,36,3,1297,1332,35
0,38,4,1340,1348,8
0,39,0,1348,1438,90
0,37,1,1472,1518,46
0,7,4,1560,1573,13
0,22,1,1573,1634,61
0,34,4,1634,1657,23
0,29,2,1657,1740,83
0,1,0,1740,1826,86
0,4,0,1826,1909,83
0,30,3,1909,2006,97
0,8,0,2006,2091,85
0,46,3,2091,2113,22
0,23,4,2113,2146,33
0,2,4,2146,2238,92
0,49,2,2387,2389,2
0,33,4,2559,2588,29
1,28,0,0,8,8
1,18,0,8,29,21
1,20,0,29,49,20
1,13,0,49,89,40
1,35,0,89,127,38
1,31,1,127,164,37
1,15,1,164,172,8
1,38,0,172,187,15
1,2,0,187,191,4
1,24,1,191,204,13
1,17,0,204,254,50
1,25,4,254,292,38
1,9,2,292,357,65
1,42,3,357,361,4
1,10,4,361,427,66
1,48,2,427,432,5
1,19,4,449,460,11
1,40,1,460,510,50
1,5,2,510,610,100
1,27,2,610,663,53
1,26,1,663,710,47
1,12,4,710,735,25
1,16,2,735,761,26
1,45,2,761,769,8
1,21,1,769,809,40
1,41,0,809,871,62
1,44,1,872,927,55
1,11,4,927,996,69
1,32,4,996,1095,99
1,47,3,1095,1172,77
1,3,2,1172,1231,59
1,36,2,1268,1297,29
1,43,3,1297,1386,89
1,14,4,1386,1391,5
1,34,1,1391,1460,69
1,7,3,1526,1560,34
1,6,4,1637,1722,85
1,46,1,1722,1819,97
1,23,1,1819,1913,94
1,4,1,1913,1991,78
1,1,2,2013,2088,75
1,30,4,2088,2187,99
1,22,3,2187,2273,86
1,8,2,2273,2306,33
1,49,1,2306,2387,81
1,39,4,2387,2473,86
1,29,4,2473,2496,23
1,33,3,2496,2559,63
1,37,4,2726,2774,48
1,0,4,2817,2866,49
2,42,0,0,20,20
2,9,0,20,44,24
2,10,0,44,92,48
2,31,0,92,120,28
2,32,2,120,134,14
2,16,1,134,162,28
2,18,2,162,209,47
2,25,3,209,221,12
2,11,0,221,300,79
2,19,2,300,336,36
2,48,1,336,404,68
2,35,1,404,448,44
2,15,2,448,513,65
2,12,3,513,516,3
2,26,0,516,578,62
2,17,1,578,638,60
2,45,1,638,734,96
2,30,1,734,770,36
2,47,1,770,837,67
2,5,4,837,861,24
2,27,4,861,864,3
2,24,2,864,955,91
2,44,2,955,1028,73
2,21,3,1028,1051,23
2,41,1,1051,1123,72
2,20,4,1123,1171,48
2,2,3,1171,1211,40
2,7,0,1211,1272,61
2,14,2,1286,1294,8
2,38,3,1315,1340,25
2,36,4,1340,1406,66
2,3,3,1406,1498,92
2,34,2,1498,1590,92
2,6,3,1590,1637,47
2,43,4,1637,1701,64
2,39,1,1701,1752,51
2,49,0,1752,1820,68
2,13,3,1820,1913,93
2,1,1,1913,2013,100
2,29,3,2013,2030,17
2,23,3,2030,2090,60
2,40,4,2090,2183,93
2,8,1,2183,2258,75
2,46,4,2258,2348,90
2,33,2,2348,2399,51
2,22,4,2399,2498,99
2,28,2,2498,2586,88
2,4,4,2586,2630,44
2,37,3,2630,2726,96
2,0,3,2726,2817,91
3,32,0,0,15,15
3,5,0,15,64,49
3,18,1,64,67,3
3,15,0,67,137,70
3,25,1,137,167,30
3,19,0,167,224,57
3,10,1,224,251,27
3,9,1,251,271,20
3,42,2,271,356,85
3,12,2,356,433,77
3,31,4,433,488,55
3,48,3,488,534,46
3,35,2,534,581,47
3,45,0,581,594,13
3,47,0,594,637,43
3,21,0,637,708,71
3,43,1,708,757,49
3,27,3,757,831,74
3,29,0,831,864,33
3,11,3,864,910,46
3,26,3,910,949,39
3,40,3,949,972,23
3,24,3,972,999,27
3,20,3,999,1073,74
3,44,4,1073,1089,16
3,2,2,1089,1133,44
3,36,0,1133,1175,42
3,38,1,1175,1255,80
3,41,4,1255,1270,15
3,6,1,1270,1323,53
3,14,3,1323,1373,50
3,37,0,1373,1472,99
3,7,2,1472,1526,54
3,3,4,1526,1561,35
3,34,3,1590,1605,15
3,30,2,1605,1675,70
3,16,3,1675,1766,91
3,22,2,1766,1793,27
3,39,2,1793,1859,66
3,33,1,1859,1937,78
3,46,2,1937,1976,39
3,23,2,1976,2022,46
3,13,4,2022,2070,48
3,0,2,2070,2126,56
3,1,3,2126,2218,92
3,4,3,2255,2319,64
3,17,4,2319,2412,93
3,8,4,2417,2466,49
3,49,3,2466,2470,4
3,28,3,2586,2640,54
4,25,0,0,58,58
4,24,0,58,91,33
4,34,0,91,117,26
4,42,1,117,131,14
4,30,0,131,194,63
4,31,2,194,218,24
4,12,1,218,249,31
4,19,1,249,275,26
4,10,2,275,276,1
4,13,2,276,291,15
4,32,3,291,309,18
4,27,0,309,409,100
4,18,3,409,443,34
4,11,2,443,504,61
4,9,3,504,537,33
4,40,2,537,577,40
4,48,4,577,581,4
4,35,3,581,604,23
4,15,4,604,688,84
4,3,0,688,775,87
4,26,2,775,780,5
4,5,3,780,798,18
4,44,0,798,872,74
4,20,2,872,878,6
4,43,2,878,924,46
4,0,1,924,971,47
4,2,1,971,1065,94
4,21,4,1065,1094,29
4,14,0,1094,1142,48
4,41,2,1142,1172,30
4,47,4,1172,1183,11
4,36,1,1183,1268,85
4,38,2,1268,1315,47
4,7,1,1315,1386,71
4,6,2,1386,1470,84
4,22,0,1470,1553,83
4,29,1,1553,1625,72
4,46,0,1625,1698,73
4,23,0,1698,1766,68
4,33,0,1766,1855,89
4,37,2,1855,1929,74
4,39,3,1929,1934,5
4,16,4,1934,1992,58
4,45,4,1992,2089,97
4,17,3,2089,2179,90
4,4,2,2179,2255,76
4,1,4,2255,2345,90
4,8,3,2345,2417,72
4,49,4,2470,2529,59
4,28,4,2640,2658,18
5,25,7,331,390,59
5,31,6,526,535,9
5,19,7,535,565,30
5,10,8,565,628,63
5,18,7,628,696,68
5,48,7,696,754,58
5,42,7,754,802,48
5,15,8,802,874,72
5,35,8,940,1010,70
5,12,9,1109,1131,22
5,32,7,1242,1252,10
5,41,5,1270,1347,77
5,11,9,1347,1381,34
5,47,6,1381,1388,7
5,44,8,1388,1414,26
5,5,7,1414,1440,26
5,20,7,1440,1520,80
5,27,9,1520,1548,28
5,36,7,1548,1638,90
5,14,8,1638,1726,88
5,24,9,1726,1813,87
5,9,9,1813,1842,29
5,34,7,1842,1889,47
5,6,6,1889,1923,34
5,43,7,1923,2006,83
5,7,9,2006,2103,97
5,3,9,2103,2194,91
5,21,9,2194,2222,28
5,23,6,2222,2308,86
5,16,8,2308,2347,39
5,1,5,2347,2358,11
5,26,9,2358,2389,31
5,39,5,2473,2532,59
5,8,6,2532,2544,12
5,30,7,2544,2585,41
5,45,7,2585,2651,66
5,46,8,2651,2749,98
5,22,6,2749,2809,60
