machine_id,job_id,op_index,start,end,proc_time
0,11,0,0,22,22
0,2,1,65,87,22
0,17,2,104,116,12
0,15,4,116,129,13
0,0,4,129,150,21
0,12,6,252,290,38
0,14,4,290,301,11
0,9,5,317,351,34
0,3,6,357,389,32
0,19,8,389,405,16
0,8,7,419,446,27
0,13,8,463,483,20
0,1,10,483,494,11
0,10,14,494,530,36
0,4,11,534,558,24
0,7,14,558,571,13
0,5,14,579,604,25
0,18,14,604,617,13
0,6,13,617,634,17
0,16,14,644,665,21
1,9,1,35,46,11
1,4,2,47,75,28
1,5,3,75,108,33
1,13,1,108,137,29
1,10,3,137,168,31
1,1,4,168,192,24
1,19,3,192,206,14
1,17,5,206,224,18
1,3,2,224,243,19
1,16,5,264,295,31
1,18,8,295,307,12
1,7,10,352,388,36
1,14,8,388,422,34
1,15,11,422,440,18
1,12,11,440,476,36
1,0,8,476,506,30
1,2,9,506,520,14
1,11,11,520,538,18
1,6,12,572,601,29
1,8,14,626,658,32
2,0,0,0,24,24
2,16,2,42,70,28
2,12,2,129,165,36
2,17,3,165,185,20
2,6,6,185,224,39
2,2,4,225,245,20
2,1,7,245,281,36
2,11,8,296,325,29
2,7,9,325,352,27
2,14,6,352,366,14
2,18,9,366,379,13
2,15,10,379,408,29
2,5,9,411,437,26
2,10,13,437,476,39
2,8,10,489,510,21
2,4,10,510,534,24
2,13,11,537,558,21
2,9,12,558,586,28
2,3,11,586,615,29
2,19,13,615,637,22
3,16,0,0,25,25
3,0,1,25,37,12
3,1,1,37,52,15
3,6,1,52,82,30
3,7,4,114,135,21
3,14,2,135,165,30
3,12,4,179,207,28
3,18,7,207,224,17
3,8,3,224,251,27
3,10,8,251,278,27
3,19,5,278,309,31
3,2,5,309,321,12
3,15,9,321,357,36
3,17,9,357,388,31
3,5,8,388,411,23
3,9,6,411,435,24
3,4,8,435,459,24
3,11,12,538,549,11
3,3,12,615,628,13
3,13,14,628,655,27
4,7,1,27,46,19
4,0,3,61,88,27
4,15,3,89,106,17
4,6,5,158,185,27
4,11,4,200,231,31
4,10,7,231,251,20
4,13,4,251,285,34
4,3,5,327,357,30
4,8,5,372,393,21
4,16,9,401,413,12
4,5,10,437,452,15
4,14,10,455,478,23
4,12,12,478,493,15
4,19,11,493,522,29
4,9,10,522,537,15
4,17,13,537,550,13
4,18,13,550,588,38
4,1,14,588,616,28
4,2,13,617,639,22
4,4,14,641,659,18
5,7,0,0,27,27
5,16,1,27,42,15
5,18,0,42,60,18
5,10,1,60,97,37
5,12,1,97,129,32
5,11,2,129,157,28
5,15,5,157,190,33
5,17,4,190,202,12
5,9,2,202,241,39
5,19,4,241,274,33
5,5,6,274,314,40
5,4,5,314,332,18
5,8,4,332,372,40
5,14,7,372,386,14
5,13,5,386,419,33
5,3,7,419,440,21
5,1,8,440,466,26
5,6,9,466,502,36
5,0,9,506,537,31
5,2,10,537,553,16
6,1,0,0,30,30
6,2,0,30,65,35
6,7,2,65,94,29
6,6,2,94,115,21
6,3,1,134,163,29
6,0,5,163,188,25
6,5,5,188,223,35
6,4,3,223,255,32
6,12,7,290,310,20
6,16,7,330,361,31
6,10,12,365,390,25
6,13,6,419,446,27
6,18,11,446,463,17
6,8,9,473,489,16
6,15,13,489,522,33
6,19,12,522,550,28
6,17,14,550,576,26
6,14,13,582,605,23
6,11,14,605,620,15
6,9,14,637,670,33
7,15,2,53,89,36
7,18,2,90,128,38
7,5,4,128,162,34
7,10,4,168,193,25
7,2,3,193,225,32
7,16,4,225,264,39
7,4,4,264,280,16
7,3,3,280,294,14
7,9,4,294,317,23
7,12,8,317,336,19
7,11,9,336,368,32
7,17,10,388,420,32
7,19,9,420,431,11
7,0,7,431,457,26
7,1,9,466,481,15
7,13,9,483,511,28
7,7,13,511,533,22
7,8,12,570,598,28
7,14,14,605,632,27
7,6,14,634,667,33
8,5,0,0,24,24
8,13,0,24,52,28
8,19,1,52,91,39
8,6,3,115,134,19
8,8,2,134,158,24
8,12,3,165,179,14
8,7,6,179,193,14
8,10,5,193,206,13
8,15,6,206,231,25
8,11,5,231,252,21
8,17,7,252,291,39
8,16,6,295,330,35
8,4,6,332,356,24
8,0,6,356,383,27
8,14,9,422,455,33
8,9,8,455,485,30
8,1,11,494,517,23
8,18,12,517,547,30
8,2,12,601,617,16
8,3,13,628,648,20
9,15,0,0,13,13
9,19,0,13,44,31
9,0,2,44,61,17
9,14,0,61,82,21
9,7,3,94,114,20
9,3,0,114,134,20
9,18,6,185,201,16
9,6,7,224,237,13
9,11,6,252,272,20
9,10,9,278,303,25
9,4,7,356,379,23
9,8,6,393,419,26
9,17,11,420,440,20
9,2,8,440,457,17
9,5,11,457,485,28
9,16,12,492,508,16
9,12,13,508,540,32
9,1,13,540,566,26
9,13,13,578,611,33
9,9,13,611,637,26
10,10,0,0,28,28
10,18,1,60,90,30
10,17,1,90,104,14
10,7,5,135,175,40
10,1,6,215,243,28
10,15,8,276,299,23
10,5,7,314,350,36
10,2,7,350,373,23
10,11,10,373,391,18
10,16,10,413,446,33
10,13,7,446,463,17
10,4,9,463,497,34
10,3,9,497,521,24
10,6,10,521,542,21
10,9,11,542,557,15
10,8,11,557,570,13
10,14,12,570,582,12
10,12,14,582,598,16
10,0,13,617,636,19
10,19,14,637,654,17
11,4,0,0,23,23
11,5,1,24,43,19
11,11,1,43,68,25
11,8,1,79,108,29
11,1,3,146,165,19
11,18,5,165,185,20
11,17,6,224,241,17
11,14,5,301,317,16
11,19,6,317,339,22
11,12,9,339,351,12
11,10,11,351,365,14
11,16,8,365,401,36
11,7,12,401,438,37
