machine_id,job_id,op_index,start,end,proc_time
0,7,0,0,36,36
0,1,4,235,312,77
0,0,4,364,373,9
0,2,5,373,413,40
0,9,4,413,465,52
0,4,3,522,586,64
0,3,9,586,641,55
0,8,9,641,716,75
0,6,9,716,811,95
0,5,9,811,863,52
1,3,0,0,91,91
1,1,2,91,178,87
1,6,1,178,241,63
1,2,4,252,301,49
1,4,1,301,391,90
1,8,8,539,617,78
1,0,8,672,730,58
1,5,7,730,787,57
1,7,9,787,795,8
1,9,9,795,821,26
2,0,0,0,44,44
2,8,1,88,169,81
2,3,1,169,186,17
2,6,4,273,355,82
2,5,3,355,384,29
2,9,5,465,471,6
2,2,7,471,519,48
2,1,6,519,600,81
2,4,4,600,694,94
2,7,8,694,730,36
3,0,1,44,49,5
3,8,2,169,182,13
3,2,3,182,252,70
3,7,4,252,328,76
3,1,5,328,413,85
3,6,5,413,440,27
3,3,6,440,447,7
3,4,2,447,522,75
3,5,6,612,680,68
3,9,8,721,727,6
4,1,0,0,15,15
4,2,2,109,119,10
4,9,1,170,224,54
4,6,2,241,267,26
4,0,3,267,364,97
4,8,4,364,418,54
4,3,5,418,429,11
4,5,4,429,487,58
4,7,6,487,517,30
4,4,6,709,721,12
5,8,0,0,88,88
5,7,1,88,103,15
5,5,1,116,209,93
5,0,2,209,267,58
5,6,3,267,273,6
5,3,3,273,348,75
5,1,7,600,639,39
5,9,7,639,721,82
5,2,9,721,792,71
5,4,9,814,864,50
6,6,0,0,87,87
6,2,1,87,109,22
6,4,0,109,180,71
6,8,3,182,264,82
6,9,2,264,328,64
6,7,5,328,412,84
6,3,7,447,519,72
6,5,5,519,612,93
6,0,9,730,819,89
6,1,9,819,840,21
7,1,1,15,46,31
7,5,0,46,116,70
7,3,2,186,248,62
7,9,3,328,360,32
7,0,5,373,457,84
7,8,5,457,470,13
7,6,6,470,526,56
7,2,8,526,606,80
7,7,7,606,682,76
7,4,7,721,788,67
8,7,2,103,144,41
8,1,3,178,235,57
8,5,2,235,312,77
8,3,4,348,395,47
8,2,6,413,447,34
8,8,6,470,499,29
8,0,6,499,576,77
8,9,6,576,630,54
8,6,7,630,678,48
8,4,5,694,709,15
9,2,0,0,82,82
9,9,0,82,170,88
9,7,3,170,248,78
9,8,7,499,539,40
9,3,8,539,574,35
9,0,7,576,672,96
9,6,8,678,714,36
9,1,8,714,787,73
9,5,8,787,794,7
9,4,8,794,814,20
