machine_id,job_id,op_index,start,end,proc_time
0,7,0,0,36,36
0,0,4,243,252,9
0,9,4,254,306,52
0,1,4,306,383,77
0,2,5,383,423,40
0,4,3,423,487,64
0,3,9,520,575,55
0,8,9,575,650,75
0,6,9,698,793,95
0,5,9,793,845,52
1,3,0,0,91,91
1,1,2,91,178,87
1,6,1,178,241,63
1,4,1,241,331,90
1,2,4,331,380,49
1,8,8,462,540,78
1,0,8,630,688,58
1,5,7,688,745,57
1,9,9,745,771,26
1,7,9,831,839,8
2,0,0,0,44,44
2,3,1,91,108,17
2,8,1,108,189,81
2,5,3,336,365,29
2,6,4,365,447,82
2,9,5,447,453,6
2,2,7,457,505,48
2,4,4,505,599,94
2,1,6,601,682,81
2,7,8,795,831,36
3,0,1,44,49,5
3,8,2,189,202,13
3,2,3,254,324,70
3,4,2,331,406,75
3,3,6,406,413,7
3,7,4,413,489,76
3,6,5,489,516,27
3,1,5,516,601,85
3,5,6,601,669,68
3,9,8,670,676,6
4,1,0,0,15,15
4,9,1,88,142,54
4,0,3,146,243,97
4,2,2,244,254,10
4,6,2,254,280,26
4,8,4,326,380,54
4,3,5,383,394,11
4,5,4,394,452,58
4,4,6,614,626,12
4,7,6,662,692,30
5,8,0,0,88,88
5,0,2,88,146,58
5,7,1,146,161,15
5,5,1,161,254,93
5,3,3,254,329,75
5,6,3,329,335,6
5,9,7,588,670,82
5,1,7,682,721,39
5,2,9,721,792,71
5,4,9,792,842,50
6,4,0,0,71,71
6,6,0,71,158,87
6,9,2,158,222,64
6,2,1,222,244,22
6,8,3,244,326,82
6,3,7,413,485,72
6,5,5,485,578,93
6,7,5,578,662,84
6,0,9,688,777,89
6,1,9,825,846,21
7,1,1,15,46,31
7,5,0,46,116,70
7,3,2,116,178,62
7,9,3,222,254,32
7,0,5,254,338,84
7,8,5,380,393,13
7,6,6,516,572,56
7,2,8,572,652,80
7,4,7,652,719,67
7,7,7,719,795,76
8,7,2,161,202,41
8,1,3,202,259,57
8,5,2,259,336,77
8,3,4,336,383,47
8,8,6,393,422,29
8,2,6,423,457,34
8,0,6,457,534,77
8,9,6,534,588,54
8,4,5,599,614,15
8,6,7,614,662,48
9,9,0,0,88,88
9,2,0,88,170,82
9,7,3,202,280,78
9,8,7,422,462,40
9,3,8,485,520,35
9,0,7,534,630,96
9,6,8,662,698,36
9,4,8,719,739,20
9,5,8,745,752,7
9,1,8,752,825,73
