iter=0  iter_best=926  iter_avg=1050.62  iter_worst=1177  gbest_Cmax=926
iter=1  iter_best=890  iter_avg=1102.42  iter_worst=1177  gbest_Cmax=890
iter=2  iter_best=890  iter_avg=1088.23  iter_worst=1177  gbest_Cmax=890
iter=3  iter_best=953  iter_avg=1053.6  iter_worst=1177  gbest_Cmax=890
iter=4  iter_best=953  iter_avg=1047.24  iter_worst=1177  gbest_Cmax=890
iter=5  iter_best=942  iter_avg=1073.33  iter_worst=1193  gbest_Cmax=890
iter=6  iter_best=890  iter_avg=1085.99  iter_worst=1193  gbest_Cmax=890
iter=7  iter_best=890  iter_avg=1068.77  iter_worst=1177  gbest_Cmax=890
iter=8  iter_best=890  iter_avg=1061.75  iter_worst=1177  gbest_Cmax=890
iter=9  iter_best=890  iter_avg=1057.95  iter_worst=1193  gbest_Cmax=890
iter=10  iter_best=890  iter_avg=1069.38  iter_worst=1177  gbest_Cmax=890
iter=11  iter_best=890  iter_avg=1059.51  iter_worst=1193  gbest_Cmax=890
iter=12  iter_best=890  iter_avg=1059.4  iter_worst=1193  gbest_Cmax=890
iter=13  iter_best=890  iter_avg=1046.45  iter_worst=1177  gbest_Cmax=890
iter=14  iter_best=890  iter_avg=1069.99  iter_worst=1193  gbest_Cmax=890
iter=15  iter_best=890  iter_avg=1063.33  iter_worst=1177  gbest_Cmax=890
iter=16  iter_best=890  iter_avg=1053.02  iter_worst=1193  gbest_Cmax=890
iter=17  iter_best=890  iter_avg=1057.44  iter_worst=1177  gbest_Cmax=890
iter=18  iter_best=890  iter_avg=1072.98  iter_worst=1193  gbest_Cmax=890
iter=19  iter_best=890  iter_avg=1048.02  iter_worst=1177  gbest_Cmax=890
iter=20  iter_best=890  iter_avg=1031.26  iter_worst=1177  gbest_Cmax=890
iter=21  iter_best=890  iter_avg=1058.86  iter_worst=1177  gbest_Cmax=890
iter=22  iter_best=890  iter_avg=1053.64  iter_worst=1193  gbest_Cmax=890
iter=23  iter_best=890  iter_avg=1055.91  iter_worst=1177  gbest_Cmax=890
iter=24  iter_best=890  iter_avg=1048.44  iter_worst=1180  gbest_Cmax=890
iter=25  iter_best=890  iter_avg=1062.95  iter_worst=1177  gbest_Cmax=890
iter=26  iter_best=890  iter_avg=1058.52  iter_worst=1193  gbest_Cmax=890
