machine_id,job_id,op_index,start,end,proc_time
0,3,0,0,8,8
0,5,0,8,61,53
0,1,0,61,122,61
0,2,0,122,208,86
0,7,1,208,227,19
0,0,0,227,299,72
0,4,1,299,393,94
0,9,1,393,453,60
0,6,2,632,731,99
0,8,3,731,769,38
1,3,1,8,90,82
1,5,4,110,178,68
1,4,0,178,228,50
1,2,2,280,315,35
1,0,1,315,379,64
1,1,4,379,428,49
1,7,4,428,512,84
1,8,1,512,611,99
1,9,5,631,716,85
1,6,3,731,745,14
2,7,0,0,90,90
2,5,2,91,98,7
2,9,0,98,142,44
2,8,0,142,239,97
2,1,3,239,317,78
2,2,3,317,354,37
2,6,0,354,383,29
2,0,2,383,438,55
2,3,6,438,471,33
2,4,6,657,662,5
3,5,3,98,110,12
3,1,1,122,149,27
3,3,3,149,248,99
3,2,1,248,280,32
3,7,2,280,367,87
3,0,3,438,469,31
3,4,3,469,531,62
3,9,3,531,536,5
3,6,1,536,632,96
3,8,6,903,943,40
4,3,2,90,117,27
4,1,2,149,237,88
4,5,6,265,293,28
4,7,3,367,418,51
4,2,5,418,466,48
4,0,4,469,522,53
4,4,4,531,586,55
4,8,2,611,704,93
4,9,6,716,750,34
4,6,4,750,784,34
5,2,4,354,372,18
5,3,5,372,381,9
5,4,2,393,436,43
5,1,5,436,519,83
5,7,5,519,564,45
5,0,5,564,659,95
5,5,9,659,666,7
5,6,6,800,807,7
5,8,5,807,903,96
5,9,9,977,1024,47
6,5,1,61,91,30
6,3,4,248,322,74
6,2,6,466,557,91
6,9,4,557,631,74
6,0,6,659,670,11
6,1,7,670,744,74
6,7,7,744,802,58
6,6,7,807,883,76
6,4,9,883,919,36
6,8,8,1041,1073,32
7,5,8,363,408,45
7,3,8,491,550,59
7,2,7,557,609,52
7,4,5,609,657,48
7,0,7,670,722,52
7,1,8,744,773,29
7,8,4,773,786,13
7,6,5,786,800,14
7,9,7,800,895,95
7,7,8,895,976,81
8,5,5,178,265,87
8,9,2,453,482,29
8,1,6,519,610,91
8,4,7,662,698,36
8,2,9,708,738,30
8,0,8,738,744,6
8,3,9,744,842,98
8,6,8,883,940,57
8,7,9,976,1072,96
8,8,9,1073,1118,45
9,5,7,293,363,70
9,3,7,471,491,20
9,7,6,564,648,84
9,2,8,648,708,60
9,4,8,708,755,47
9,0,9,755,839,84
9,1,9,839,926,87
9,9,8,926,977,51
9,8,7,977,1041,64
9,6,9,1041,1117,76
