iter=0  iter_best=1216  iter_avg=1303.09  iter_worst=1405  gbest_Cmax=1216
iter=1  iter_best=1166  iter_avg=1256.95  iter_worst=1385  gbest_Cmax=1166
iter=2  iter_best=1133  iter_avg=1246.36  iter_worst=1358  gbest_Cmax=1133
iter=3  iter_best=1143  iter_avg=1249.81  iter_worst=1397  gbest_Cmax=1133
iter=4  iter_best=1160  iter_avg=1245.34  iter_worst=1367  gbest_Cmax=1133
iter=5  iter_best=1172  iter_avg=1249.58  iter_worst=1373  gbest_Cmax=1133
iter=6  iter_best=1162  iter_avg=1252.23  iter_worst=1325  gbest_Cmax=1133
iter=7  iter_best=1159  iter_avg=1247.51  iter_worst=1373  gbest_Cmax=1133
iter=8  iter_best=1163  iter_avg=1251.63  iter_worst=1322  gbest_Cmax=1133
iter=9  iter_best=1187  iter_avg=1250.93  iter_worst=1325  gbest_Cmax=1133
iter=10  iter_best=1156  iter_avg=1245.71  iter_worst=1387  gbest_Cmax=1133
iter=11  iter_best=1164  iter_avg=1248.73  iter_worst=1331  gbest_Cmax=1133
iter=12  iter_best=1180  iter_avg=1245.61  iter_worst=1335  gbest_Cmax=1133
iter=13  iter_best=1161  iter_avg=1247.62  iter_worst=1350  gbest_Cmax=1133
iter=14  iter_best=1188  iter_avg=1250.31  iter_worst=1320  gbest_Cmax=1133
iter=15  iter_best=1155  iter_avg=1247.66  iter_worst=1341  gbest_Cmax=1133
iter=16  iter_best=1170  iter_avg=1247.57  iter_worst=1360  gbest_Cmax=1133
iter=17  iter_best=1155  iter_avg=1250.14  iter_worst=1335  gbest_Cmax=1133
iter=18  iter_best=1171  iter_avg=1252.45  iter_worst=1382  gbest_Cmax=1133
iter=19  iter_best=1150  iter_avg=1246.8  iter_worst=1326  gbest_Cmax=1133
iter=20  iter_best=1173  iter_avg=1251.77  iter_worst=1322  gbest_Cmax=1133
iter=21  iter_best=1143  iter_avg=1241.71  iter_worst=1323  gbest_Cmax=1133
iter=22  iter_best=1162  iter_avg=1242.17  iter_worst=1324  gbest_Cmax=1133
iter=23  iter_best=1161  iter_avg=1244.74  iter_worst=1324  gbest_Cmax=1133
iter=24  iter_best=1139  iter_avg=1248.23  iter_worst=1369  gbest_Cmax=1133
iter=25  iter_best=1145  iter_avg=1241.72  iter_worst=1305  gbest_Cmax=1133
iter=26  iter_best=1164  iter_avg=1247.38  iter_worst=1328  gbest_Cmax=1133
iter=27  iter_best=1166  iter_avg=1249.96  iter_worst=1356  gbest_Cmax=1133
iter=28  iter_best=1165  iter_avg=1248.51  iter_worst=1347  gbest_Cmax=1133
iter=29  iter_best=1160  iter_avg=1246.1  iter_worst=1311  gbest_Cmax=1133
iter=30  iter_best=1165  iter_avg=1246.67  iter_worst=1335  gbest_Cmax=1133
iter=31  iter_best=1184  iter_avg=1253.01  iter_worst=1360  gbest_Cmax=1133
iter=32  iter_best=1123  iter_avg=1242.14  iter_worst=1324  gbest_Cmax=1123
iter=33  iter_best=1155  iter_avg=1247.09  iter_worst=1322  gbest_Cmax=1123
iter=34  iter_best=1176  iter_avg=1247.94  iter_worst=1323  gbest_Cmax=1123
iter=35  iter_best=1171  iter_avg=1248.33  iter_worst=1368  gbest_Cmax=1123
iter=36  iter_best=1171  iter_avg=1247.43  iter_worst=1315  gbest_Cmax=1123
iter=37  iter_best=1160  iter_avg=1242.51  iter_worst=1332  gbest_Cmax=1123
iter=38  iter_best=1161  iter_avg=1244.03  iter_worst=1347  gbest_Cmax=1123
iter=39  iter_best=1168  iter_avg=1248.3  iter_worst=1312  gbest_Cmax=1123
iter=40  iter_best=1157  iter_avg=1245.49  iter_worst=1329  gbest_Cmax=1123
iter=41  iter_best=1133  iter_avg=1242.82  iter_worst=1322  gbest_Cmax=1123
iter=42  iter_best=1177  iter_avg=1243.71  iter_worst=1357  gbest_Cmax=1123
iter=43  iter_best=1167  iter_avg=1247.29  iter_worst=1321  gbest_Cmax=1123
iter=44  iter_best=1166  iter_avg=1246.4  iter_worst=1340  gbest_Cmax=1123
iter=45  iter_best=1182  iter_avg=1247.84  iter_worst=1325  gbest_Cmax=1123
iter=46  iter_best=1152  iter_avg=1247.52  iter_worst=1345  gbest_Cmax=1123
iter=47  iter_best=1178  iter_avg=1250.8  iter_worst=1323  gbest_Cmax=1123
iter=48  iter_best=1155  iter_avg=1246.84  iter_worst=1325  gbest_Cmax=1123
iter=49  iter_best=1180  iter_avg=1246.29  iter_worst=1369  gbest_Cmax=1123
iter=50  iter_best=1169  iter_avg=1243.41  iter_worst=1305  gbest_Cmax=1123
iter=51  iter_best=1170  iter_avg=1245.97  iter_worst=1338  gbest_Cmax=1123
iter=52  iter_best=1169  iter_avg=1245.97  iter_worst=1352  gbest_Cmax=1123
iter=53  iter_best=1191  iter_avg=1251.9  iter_worst=1385  gbest_Cmax=1123
iter=54  iter_best=1157  iter_avg=1240.18  iter_worst=1321  gbest_Cmax=1123
iter=55  iter_best=1171  iter_avg=1248.15  iter_worst=1355  gbest_Cmax=1123
iter=56  iter_best=1166  iter_avg=1242.61  iter_worst=1315  gbest_Cmax=1123
iter=57  iter_best=1163  iter_avg=1251.15  iter_worst=1319  gbest_Cmax=1123
iter=58  iter_best=1161  iter_avg=1245.15  iter_worst=1371  gbest_Cmax=1123
iter=59  iter_best=1172  iter_avg=1248.45  iter_worst=1366  gbest_Cmax=1123
iter=60  iter_best=1155  iter_avg=1247.38  iter_worst=1342  gbest_Cmax=1123
iter=61  iter_best=1178  iter_avg=1253.97  iter_worst=1365  gbest_Cmax=1123
iter=62  iter_best=1133  iter_avg=1242.55  iter_worst=1314  gbest_Cmax=1123
iter=63  iter_best=1159  iter_avg=1245.64  iter_worst=1369  gbest_Cmax=1123
iter=64  iter_best=1145  iter_avg=1242.23  iter_worst=1333  gbest_Cmax=1123
iter=65  iter_best=1165  iter_avg=1250.4  iter_worst=1347  gbest_Cmax=1123
iter=66  iter_best=1180  iter_avg=1250.7  iter_worst=1320  gbest_Cmax=1123
iter=67  iter_best=1182  iter_avg=1246.25  iter_worst=1315  gbest_Cmax=1123
iter=68  iter_best=1149  iter_avg=1247.99  iter_worst=1322  gbest_Cmax=1123
iter=69  iter_best=1163  iter_avg=1245.57  iter_worst=1349  gbest_Cmax=1123
iter=70  iter_best=1160  iter_avg=1241.92  iter_worst=1324  gbest_Cmax=1123
iter=71  iter_best=1147  iter_avg=1250.45  iter_worst=1432  gbest_Cmax=1123
iter=72  iter_best=1176  iter_avg=1251.22  iter_worst=1335  gbest_Cmax=1123
iter=73  iter_best=1181  iter_avg=1242.65  iter_worst=1349  gbest_Cmax=1123
iter=74  iter_best=1174  iter_avg=1248.21  iter_worst=1343  gbest_Cmax=1123
iter=75  iter_best=1182  iter_avg=1254.87  iter_worst=1351  gbest_Cmax=1123
iter=76  iter_best=1127  iter_avg=1243.67  iter_worst=1335  gbest_Cmax=1123
iter=77  iter_best=1155  iter_avg=1248.11  iter_worst=1344  gbest_Cmax=1123
iter=78  iter_best=1169  iter_avg=1251.1  iter_worst=1347  gbest_Cmax=1123
iter=79  iter_best=1175  iter_avg=1246.68  iter_worst=1341  gbest_Cmax=1123
iter=80  iter_best=1163  iter_avg=1249.09  iter_worst=1316  gbest_Cmax=1123
iter=81  iter_best=1175  iter_avg=1244.46  iter_worst=1364  gbest_Cmax=1123
iter=82  iter_best=1162  iter_avg=1245.87  iter_worst=1339  gbest_Cmax=1123
iter=83  iter_best=1171  iter_avg=1245.08  iter_worst=1315  gbest_Cmax=1123
iter=84  iter_best=1161  iter_avg=1246.21  iter_worst=1339  gbest_Cmax=1123
iter=85  iter_best=1173  iter_avg=1246.84  iter_worst=1302  gbest_Cmax=1123
iter=86  iter_best=1180  iter_avg=1252.34  iter_worst=1330  gbest_Cmax=1123
iter=87  iter_best=1158  iter_avg=1247.42  iter_worst=1337  gbest_Cmax=1123
iter=88  iter_best=1160  iter_avg=1245.04  iter_worst=1320  gbest_Cmax=1123
iter=89  iter_best=1161  iter_avg=1244.3  iter_worst=1336  gbest_Cmax=1123
iter=90  iter_best=1169  iter_avg=1242.97  iter_worst=1307  gbest_Cmax=1123
iter=91  iter_best=1146  iter_avg=1245.43  iter_worst=1319  gbest_Cmax=1123
iter=92  iter_best=1176  iter_avg=1247.4  iter_worst=1333  gbest_Cmax=1123
iter=93  iter_best=1172  iter_avg=1246.85  iter_worst=1331  gbest_Cmax=1123
iter=94  iter_best=1142  iter_avg=1249.34  iter_worst=1336  gbest_Cmax=1123
iter=95  iter_best=1169  iter_avg=1251.51  iter_worst=1333  gbest_Cmax=1123
iter=96  iter_best=1152  iter_avg=1246.75  iter_worst=1316  gbest_Cmax=1123
iter=97  iter_best=1179  iter_avg=1248.93  iter_worst=1337  gbest_Cmax=1123
iter=98  iter_best=1175  iter_avg=1247.85  iter_worst=1341  gbest_Cmax=1123
iter=99  iter_best=1169  iter_avg=1253.39  iter_worst=1346  gbest_Cmax=1123
iter=100  iter_best=1166  iter_avg=1248.02  iter_worst=1344  gbest_Cmax=1123
iter=101  iter_best=1161  iter_avg=1248.78  iter_worst=1320  gbest_Cmax=1123
iter=102  iter_best=1145  iter_avg=1243.52  iter_worst=1313  gbest_Cmax=1123
iter=103  iter_best=1174  iter_avg=1251.42  iter_worst=1327  gbest_Cmax=1123
iter=104  iter_best=1150  iter_avg=1246.3  iter_worst=1397  gbest_Cmax=1123
iter=105  iter_best=1148  iter_avg=1253.49  iter_worst=1343  gbest_Cmax=1123
iter=106  iter_best=1174  iter_avg=1246.82  iter_worst=1353  gbest_Cmax=1123
iter=107  iter_best=1168  iter_avg=1251.39  iter_worst=1340  gbest_Cmax=1123
iter=108  iter_best=1144  iter_avg=1246.75  iter_worst=1375  gbest_Cmax=1123
iter=109  iter_best=1134  iter_avg=1242.34  iter_worst=1328  gbest_Cmax=1123
iter=110  iter_best=1144  iter_avg=1250.97  iter_worst=1326  gbest_Cmax=1123
iter=111  iter_best=1161  iter_avg=1249.48  iter_worst=1338  gbest_Cmax=1123
iter=112  iter_best=1164  iter_avg=1249.4  iter_worst=1379  gbest_Cmax=1123
