machine_id,job_id,op_index,start,end,proc_time
0,16,0,0,21,21
0,32,1,21,67,46
0,20,1,67,87,20
0,13,1,87,126,39
0,12,0,126,142,16
0,28,1,142,145,3
0,6,0,145,173,28
0,25,2,173,197,24
0,48,0,197,232,35
0,43,0,232,281,49
0,31,3,281,311,30
0,11,1,311,315,4
0,10,3,315,338,23
0,19,3,338,386,48
0,40,0,386,445,59
0,42,4,445,447,2
0,5,1,447,462,15
0,18,4,462,515,53
0,27,1,515,536,21
0,15,3,536,568,32
0,35,4,604,614,10
0,9,4,614,689,75
0,0,0,689,781,92
0,45,3,781,796,15
0,17,2,796,847,51
0,21,2,847,933,86
0,3,1,933,981,48
0,47,2,981,1019,38
0,24,4,1019,1057,38
0,44,3,1057,1082,25
0,26,4,1082,1157,75
0,41,3,1166,1187,21
0,14,1,1187,1280,93
0,36,3,1291,1326,35
0,38,4,1405,1413,8
0,39,0,1413,1503,90
0,37,1,1503,1549,46
0,7,4,1560,1573,13
0,34,4,1578,1601,23
0,22,1,1601,1662,61
0,29,2,1662,1745,83
0,1,0,1745,1831,86
0,4,0,1831,1914,83
0,30,3,1914,2011,97
0,8,0,2011,2096,85
0,46,3,2096,2118,22
0,23,4,2118,2151,33
0,2,4,2151,2243,92
0,49,2,2428,2430,2
0,33,4,2577,2606,29
1,18,0,0,21,21
1,20,0,21,41,20
1,13,0,41,81,40
1,28,0,81,89,8
1,35,0,89,127,38
1,31,1,127,164,37
1,15,1,164,172,8
1,38,0,172,187,15
1,2,0,187,191,4
1,24,1,191,204,13
1,17,0,204,254,50
1,25,4,254,292,38
1,9,2,292,357,65
1,42,3,357,361,4
1,10,4,361,427,66
1,48,2,427,432,5
1,19,4,432,443,11
1,40,1,445,495,50
1,12,4,495,520,25
1,16,2,520,546,26
1,5,2,546,646,100
1,26,1,646,693,47
1,27,2,693,746,53
1,45,2,746,754,8
1,21,1,754,794,40
1,44,1,794,849,55
1,41,0,849,911,62
1,11,4,911,980,69
1,32,4,980,1079,99
1,47,3,1079,1156,77
1,3,2,1156,1215,59
1,36,2,1262,1291,29
1,43,3,1291,1380,89
1,14,4,1380,1385,5
1,34,1,1385,1454,69
1,7,3,1526,1560,34
1,6,4,1661,1746,85
1,29,4,1762,1785,23
1,23,1,1785,1879,94
1,46,1,1879,1976,97
1,4,1,1976,2054,78
1,1,2,2054,2129,75
1,30,4,2129,2228,99
1,22,3,2228,2314,86
1,8,2,2314,2347,33
1,49,1,2347,2428,81
1,39,4,2428,2514,86
1,33,3,2514,2577,63
1,37,4,2719,2767,48
1,0,4,2810,2859,49
2,42,0,0,20,20
2,9,0,20,44,24
2,16,1,44,72,28
2,32,2,72,86,14
2,31,0,86,114,28
2,10,0,114,162,48
2,18,2,162,209,47
2,25,3,209,221,12
2,11,0,221,300,79
2,19,2,300,336,36
2,48,1,336,404,68
2,35,1,404,448,44
2,12,3,448,451,3
2,15,2,451,516,65
2,30,1,516,552,36
2,26,0,552,614,62
2,45,1,614,710,96
2,17,1,710,770,60
2,47,1,770,837,67
2,5,4,837,861,24
2,27,4,864,867,3
2,24,2,867,958,91
2,21,3,958,981,23
2,44,2,981,1054,73
2,41,1,1054,1126,72
2,20,4,1126,1174,48
2,2,3,1174,1214,40
2,7,0,1214,1275,61
2,14,2,1280,1288,8
2,3,3,1288,1380,92
2,38,3,1380,1405,25
2,36,4,1405,1471,66
2,34,2,1471,1563,92
2,39,1,1563,1614,51
2,6,3,1614,1661,47
2,43,4,1661,1725,64
2,29,3,1745,1762,17
2,13,3,1762,1855,93
2,1,1,1855,1955,100
2,23,3,1955,2015,60
2,49,0,2015,2083,68
2,40,4,2083,2176,93
2,8,1,2176,2251,75
2,46,4,2251,2341,90
2,28,2,2341,2429,88
2,33,2,2429,2480,51
2,22,4,2480,2579,99
2,4,4,2579,2623,44
2,37,3,2623,2719,96
2,0,3,2719,2810,91
3,32,0,0,15,15
3,5,0,15,64,49
3,18,1,64,67,3
3,15,0,67,137,70
3,25,1,137,167,30
3,9,1,167,187,20
3,10,1,187,214,27
3,19,0,214,271,57
3,42,2,271,356,85
3,12,2,356,433,77
3,31,4,433,488,55
3,48,3,488,534,46
3,35,2,534,581,47
3,45,0,581,594,13
3,47,0,594,637,43
3,21,0,637,708,71
3,43,1,708,757,49
3,29,0,757,790,33
3,27,3,790,864,74
3,11,3,864,910,46
3,40,3,910,933,23
3,26,3,933,972,39
3,24,3,972,999,27
3,20,3,999,1073,74
3,2,2,1073,1117,44
3,44,4,1117,1133,16
3,36,0,1133,1175,42
3,38,1,1175,1255,80
3,41,4,1255,1270,15
3,6,1,1270,1323,53
3,14,3,1323,1373,50
3,37,0,1373,1472,99
3,7,2,1472,1526,54
3,3,4,1526,1561,35
3,34,3,1563,1578,15
3,0,2,1578,1634,56
3,39,2,1634,1700,66
3,22,2,1700,1727,27
3,30,2,1727,1797,70
3,16,3,1797,1888,91
3,23,2,1888,1934,46
3,33,1,1934,2012,78
3,46,2,2012,2051,39
3,13,4,2051,2099,48
3,17,4,2102,2195,93
3,1,3,2195,2287,92
3,4,3,2287,2351,64
3,49,3,2430,2434,4
3,28,3,2434,2488,54
3,8,4,2488,2537,49
4,24,0,0,33,33
4,42,1,33,47,14
4,25,0,47,105,58
4,30,0,105,168,63
4,13,2,168,183,15
4,31,2,183,207,24
4,32,3,207,225,18
4,10,2,225,226,1
4,18,3,226,260,34
4,19,1,271,297,26
4,12,1,297,328,31
4,27,0,328,428,100
4,11,2,428,489,61
4,9,3,489,522,33
4,20,2,522,528,6
4,40,2,528,568,40
4,48,4,568,572,4
4,35,3,581,604,23
4,15,4,604,688,84
4,5,3,688,706,18
4,44,0,706,780,74
4,3,0,780,867,87
4,0,1,867,914,47
4,26,2,914,919,5
4,43,2,919,965,46
4,2,1,965,1059,94
4,21,4,1059,1088,29
4,14,0,1088,1136,48
4,41,2,1136,1166,30
4,47,4,1166,1177,11
4,36,1,1177,1262,85
4,38,2,1262,1309,47
4,34,0,1309,1335,26
4,7,1,1335,1406,71
4,6,2,1406,1490,84
4,22,0,1490,1573,83
4,29,1,1573,1645,72
4,23,0,1645,1713,68
4,39,3,1713,1718,5
4,46,0,1718,1791,73
4,33,0,1791,1880,89
4,37,2,1880,1954,74
4,16,4,1954,2012,58
4,17,3,2012,2102,90
4,4,2,2102,2178,76
4,45,4,2178,2275,97
4,1,4,2287,2377,90
4,8,3,2377,2449,72
4,49,4,2449,2508,59
4,28,4,2508,2526,18
5,25,7,331,390,59
5,31,6,526,535,9
5,19,7,549,579,30
5,10,8,579,642,63
5,18,7,642,710,68
5,42,7,710,758,48
5,48,7,758,816,58
5,15,8,816,888,72
5,35,8,901,971,70
5,9,9,1019,1048,29
5,32,7,1189,1199,10
5,44,8,1212,1238,26
5,11,9,1282,1316,34
5,41,5,1316,1393,77
5,24,9,1393,1480,87
5,47,6,1480,1487,7
5,20,7,1487,1567,80
5,12,9,1567,1589,22
5,36,7,1589,1679,90
5,14,8,1679,1767,88
5,5,7,1767,1793,26
5,38,9,1793,1798,5
5,27,9,1834,1862,28
5,6,6,1922,1956,34
5,43,7,1956,2039,83
5,34,7,2039,2086,47
5,3,9,2111,2202,91
5,7,9,2202,2299,97
5,23,6,2299,2385,86
5,1,5,2385,2396,11
5,16,8,2396,2435,39
5,29,9,2435,2505,70
5,30,7,2527,2568,41
5,39,5,2568,2627,59
5,8,6,2627,2639,12
5,46,8,2639,2737,98
5,22,6,2737,2797,60
5,37,5,2797,2849,52
