iter=0  iter_best=3614  iter_avg=4095.99  iter_worst=4555  gbest_Cmax=3614
iter=1  iter_best=3601  iter_avg=3915.83  iter_worst=4547  gbest_Cmax=3601
iter=2  iter_best=3583  iter_avg=3857.9  iter_worst=4514  gbest_Cmax=3583
iter=3  iter_best=3569  iter_avg=3813.69  iter_worst=4397  gbest_Cmax=3569
iter=4  iter_best=3510  iter_avg=3817.94  iter_worst=4493  gbest_Cmax=3510
iter=5  iter_best=3544  iter_avg=3751.3  iter_worst=4515  gbest_Cmax=3510
iter=6  iter_best=3586  iter_avg=3748.52  iter_worst=4578  gbest_Cmax=3510
iter=7  iter_best=3570  iter_avg=3716.46  iter_worst=4292  gbest_Cmax=3510
iter=8  iter_best=3553  iter_avg=3699.44  iter_worst=4325  gbest_Cmax=3510
iter=9  iter_best=3570  iter_avg=3734.86  iter_worst=4296  gbest_Cmax=3510
iter=10  iter_best=3543  iter_avg=3725.24  iter_worst=4320  gbest_Cmax=3510
iter=11  iter_best=3539  iter_avg=3723.91  iter_worst=4525  gbest_Cmax=3510
iter=12  iter_best=3497  iter_avg=3707.08  iter_worst=4227  gbest_Cmax=3497
iter=13  iter_best=3531  iter_avg=3767.76  iter_worst=4414  gbest_Cmax=3497
iter=14  iter_best=3525  iter_avg=3887.76  iter_worst=4372  gbest_Cmax=3497
iter=15  iter_best=3557  iter_avg=3729.63  iter_worst=4336  gbest_Cmax=3497
iter=16  iter_best=3499  iter_avg=3716.94  iter_worst=4517  gbest_Cmax=3497
iter=17  iter_best=3538  iter_avg=3755.52  iter_worst=4393  gbest_Cmax=3497
iter=18  iter_best=3540  iter_avg=3774.03  iter_worst=4541  gbest_Cmax=3497
iter=19  iter_best=3514  iter_avg=3718.78  iter_worst=4289  gbest_Cmax=3497
iter=20  iter_best=3528  iter_avg=3722.72  iter_worst=4439  gbest_Cmax=3497
iter=21  iter_best=3506  iter_avg=3706.26  iter_worst=4453  gbest_Cmax=3497
iter=22  iter_best=3517  iter_avg=3708.72  iter_worst=4266  gbest_Cmax=3497
iter=23  iter_best=3560  iter_avg=3725.35  iter_worst=4286  gbest_Cmax=3497
iter=24  iter_best=3472  iter_avg=3696.38  iter_worst=4347  gbest_Cmax=3472
iter=25  iter_best=3472  iter_avg=3682.04  iter_worst=4334  gbest_Cmax=3472
iter=26  iter_best=3471  iter_avg=3724.88  iter_worst=4318  gbest_Cmax=3471
iter=27  iter_best=3532  iter_avg=3683.53  iter_worst=4248  gbest_Cmax=3471
iter=28  iter_best=3513  iter_avg=3703.57  iter_worst=4283  gbest_Cmax=3471
iter=29  iter_best=3499  iter_avg=3682.54  iter_worst=4285  gbest_Cmax=3471
iter=30  iter_best=3484  iter_avg=3686.77  iter_worst=4527  gbest_Cmax=3471
iter=31  iter_best=3538  iter_avg=3702.38  iter_worst=4476  gbest_Cmax=3471
iter=32  iter_best=3494  iter_avg=3665.67  iter_worst=4210  gbest_Cmax=3471
