trial_id,instance,seed,sgs,iters,swarm,evalk,finalk,eps0,epsmin,fitavg,traindet,tsiters,tabu,tsmove,status,feasible,cmax,runtime_sec,run_id,run_dir,parse_source,log_file
trial_0001,la19,111,gt,200,30,3,2000,0,0,True,True,0,10,mixed,success,True,947,0,989717,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0001.log"
trial_0002,la19,111,gt,200,30,3,5000,0,0,True,True,0,10,mixed,success,True,947,1,088684,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0002.log"
trial_0003,la19,111,gt,200,50,3,2000,0,0,True,True,0,10,mixed,success,True,942,1,44354,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0003.log"
trial_0004,la19,111,gt,200,50,3,5000,0,0,True,True,0,10,mixed,success,True,942,1,622329,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0004.log"
trial_0005,la19,111,gt,500,30,3,2000,0,0,True,True,0,10,mixed,success,True,947,2,096523,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0005.log"
trial_0006,la19,111,gt,500,30,3,5000,0,0,True,True,0,10,mixed,success,True,947,2,248059,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0006.log"
trial_0007,la19,111,gt,500,50,3,2000,0,0,True,True,0,10,mixed,success,True,942,2,645066,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0007.log"
trial_0008,la19,111,gt,500,50,3,5000,0,0,True,True,0,10,mixed,success,True,942,3,770693,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0008.log"
trial_0009,la19,222,gt,200,30,3,2000,0,0,True,True,0,10,mixed,success,True,928,0,935149,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0009.log"
trial_0010,la19,222,gt,200,30,3,5000,0,0,True,True,0,10,mixed,success,True,928,1,057545,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0010.log"
trial_0011,la19,222,gt,200,50,3,2000,0,0,True,True,0,10,mixed,success,True,953,1,430588,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0011.log"
trial_0012,la19,222,gt,200,50,3,5000,0,0,True,True,0,10,mixed,success,True,953,1,594517,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0012.log"
trial_0013,la19,222,gt,500,30,3,2000,0,0,True,True,0,10,mixed,success,True,928,2,148214,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0013.log"
trial_0014,la19,222,gt,500,30,3,5000,0,0,True,True,0,10,mixed,success,True,928,2,31211,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0014.log"
trial_0015,la19,222,gt,500,50,3,2000,0,0,True,True,0,10,mixed,success,True,928,3,454898,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0015.log"
trial_0016,la19,222,gt,500,50,3,5000,0,0,True,True,0,10,mixed,success,True,928,3,907793,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0016.log"
trial_0017,la19,333,gt,200,30,3,2000,0,0,True,True,0,10,mixed,success,True,942,0,935118,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0017.log"
trial_0018,la19,333,gt,200,30,3,5000,0,0,True,True,0,10,mixed,success,True,942,1,04762,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0018.log"
trial_0019,la19,333,gt,200,50,3,2000,0,0,True,True,0,10,mixed,success,True,953,1,459444,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0019.log"
trial_0020,la19,333,gt,200,50,3,5000,0,0,True,True,0,10,mixed,success,True,953,1,566939,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0020.log"
trial_0021,la19,333,gt,500,30,3,2000,0,0,True,True,0,10,mixed,success,True,942,2,126335,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0021.log"
trial_0022,la19,333,gt,500,30,3,5000,0,0,True,True,0,10,mixed,success,True,942,2,2364,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0022.log"
trial_0023,la19,333,gt,500,50,3,2000,0,0,True,True,0,10,mixed,success,True,953,3,487567,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0023.log"
trial_0024,la19,333,gt,500,50,3,5000,0,0,True,True,0,10,mixed,success,True,953,2,736342,,"",legacy_stdout,"C:\Users\ertun\Documents\.CODE\codex\XSIM\.\search_results\20260607_003251_la19_iterative_search\logs\trial_0024.log"
